SModelS_status Analysis Disp MT_displaced_xsec Tx Tx_weights file r_max theory_pred MASS9000006 MASS37 ctau(37) BR(37)
Non-excluded CMS-EXO-13-006 4.8 10.848 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 "{'THSCPM1b': 0.0015129932938245886, 'THSCPM8': 0.00042930399673366963, 'THSCPM2b': 3.3074430589771313e-06, 'THSCPM9': 1.6474639113567194e-06}" IDM_mhc_320_mn1_1.9952e-05_dm_50_la2_0.01_laL_0.01_.slha.py 0.001947 0.0008762635 1.995e-05 320.0 1.011 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.729 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.9718550760637253, 'THSCPM11': 2.0451892801137466, 'THSCPM8': 0.19532035309725157}" IDM_mhc_480_mn1_0.0019952_dm_50_la2_0.01_laL_0.01_.slha.py 3.212 0.2569892 0.001995 480.0 44.543 1[9000006,11]
Non-excluded CMS-SUS-17-009 3.173 1.24 TSelSel "{'TSelSel': 0.0001363585680413439}" IDM_mhc_540_mn1_1.5848e-06_dm_50_la2_0.01_laL_0.01_.slha.py 0.0001363 0.379103 1.584e-06 540.0 0.02791 1[9000006,11]
Non-excluded CMS-SUS-17-009 3.656 2.526 TSelSel "{'TSelSel': 5.410258246998579e-06}" IDM_mhc_460_mn1_7.9432e-06_dm_50_la2_0.01_laL_0.01_.slha.py 5.41e-06 0.7930389 7.943e-06 460.0 0.1934 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.0008267 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.2988156686101746, 'THSCPM11': 0.7454212497986535, 'THSCPM8': 0.0674607309725146}" IDM_mhc_680_mn1_0.79432_dm_50_la2_0.01_laL_0.01_.slha.py 1.111 0.08893581 0.7943 680.0 8809.239 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.02901 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.7634381225139208, 'THSCPM11': 1.701733334457409, 'THSCPM8': 0.171151475491908}" IDM_mhc_560_mn1_0.03981_dm_50_la2_0.01_laL_0.01_.slha.py 2.636 0.2109058 0.03981 560.0 651.244 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.0005654 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.05027286721003753, 'THSCPM11': 0.14936075592207615, 'THSCPM8': 0.011128593878609611}" IDM_mhc_920_mn1_0.3981_dm_50_la2_0.01_laL_0.01_.slha.py 0.2107 0.01686098 0.3981 920.0 2406.426 1[9000006,11]
Excluded ATLAS-SUSY-2016-32 0.0 0.03257 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 2.9121230477402213, 'THSCPM11': 5.208332667222639, 'THSCPM8': 0.6812964031222791}" IDM_mhc_400_mn1_0.079432_dm_50_la2_0.01_laL_0.01_.slha.py 8.801 0.7921577 0.07943 400.0 2566.02 1[9000006,11]
Non-excluded CMS-SUS-17-009 0.5085 0.2272 TSelSel "{'TSelSel': 6.752564261180533e-06}" IDM_mhc_760_mn1_6.3095e-06_dm_50_la2_0.01_laL_0.01_.slha.py 6.752e-06 0.06647728 6.309e-06 760.0 0.05589 1[9000006,11]
Non-excluded ATLAS-SUSY-2016-32 0.0 0.01194 THSCPM11,THSCPM1b,THSCPM8 "{'THSCPM1b': 0.028393111440353558, 'THSCPM11': 0.06955610718742704, 'THSCPM8': 0.005795733266103869}" IDM_mhc_960_mn1_0.012589_dm_50_la2_0.01_laL_0.01_.slha.py 0.1037 0.008299596 0.01258 960.0 69.726 1[9000006,11]
Excluded CMS-EXO-13-006 0.0 298.505 THSCPM1b,THSCPM2b,THSCPM8,THSCPM9 "{'THSCPM1b': 15.941702392796758, 'THSCPM8': 4.869236527069395, 'THSCPM2b': 0.0013599782954029107, 'THSCPM9': 0.0010373233105396135}" IDM_mhc_100_mn1_3.981e-05_dm_50_la2_0.01_laL_0.01_.slha.py 20.813 21.2296 3.981e-05 100.0 22.891 1[9000006,11]
